RestaurantID,Restaurant Name,Zip Code,City,Web / Apps,Main Cuisine,Seconday Cuisne,Main Product Sold,Secondary Sold,Avg Ratings,Number of Ratings,Payment Method,Delivery Fee,Avg Price,Descriptions
1006,La Casetta,8153,Rümlang,Web,Pizza,Italian,Pizza Piccante,Pizza Margherita (vegetarisch),4.5,"1,196",Visa,0,39.05,"This place in CityCH is known for having excellent delivery for MainCH or a SecondCH. So order online right here on eat.ch using PayCH right on our PlatformCH platform and experience fast delivery to your home or office, and we promise, you'll never get a cold pizza!"
1015,Le Duo Thai & Sushi,1005,Lausanne,Apps Android,Sushi,Curry,California saumon et avocat (6 pièces),Pad Thaï au poulet,3.9,"1,046",MasterCard,0,65.77,Eat MainCH or a SecondCH from this cosy little reataurant tucked away in CityCH. Fish never tasted this good. Order online right here on eat.ch or the eat.ch mobile appusing PayCH right on our PlatformCH platform and we’ll do you a fast delivery straight to your home or office.
1045,Deniz Pizzeria,4552,Derendingen,Apps Android,Pizza,Kebab,Pizza Margherita,Poulet Rahmschnitzel,4.1,158,CASH,0,23.85,"This casual bar has everything you need to know right in its name. With a range of drinks that cover everything from around the world, you’ll be spoilt for choice. Try a  MainCH or a SecondCH . Order online right now from eat.ch using PayCH right on our PlatformCH platform from the most diverse bar in CityCH."
1046,Alaturka Pizza Kebab Kurier,8500,Frauenfeld,Web,Pizza,Kebab,Pizza Kebab,Pizza Margherita,4.5,"1,618",Visa,0,32.91,"This restaurant in CityCH has some of the best food from all around the world. MainCH or a SecondCH just as starters. It goes on and on. So, order online right here on eat.ch using PayCH right on our PlatformCH platform and we’ll get you your delivery real fast."
1055,Delta Du Mekong,1008,Prilly,Apps iOS,Asian,Chinese,Boeuf croustillant,Soupe Pho,4,900,PayPAL,0,41.46,"If you are CuisineCH, then this place will take you back home. If you aren’t CuisineCH, you’ll be wishing you were once you eat from this place. NameCH is the best CuisineCH restaurant in CityCH, no argument. Have a NameCH meal with your family or friends. Order online using PayCH right on our PlatformCH platform and we’ll deliver you your NameCH food in no time! Try their MainCH or a SecondCH. "
1056,Jet Pizza Lausanne,1005,Lausanne,Web,Pizza,Kebab,Pizza Margherita,My Pizza (30cm),4,"1,025",TWINT,0,45.1,"You don’t call a restaurant a king unless it really is the king of CuisineCH. NameCH, of course, is definitely worthy of this title and has the best food in CityCH. Choose from their marvellous range and order online using PayCH right on our PlatformCH platform right here on eat.ch or the eat.ch mobile app to get the king of food delivered right to your doorstep. Try their MainCH or a SecondCH."
1057,Restaurant Sakura,2000,Neuchâtel,Apps iOS,Sushi,Japanese,Sashimi saumon (6 pièces),Futomaki poulet pané et avocat (8 pièces),4.3,898,CASH,0,79.88,"The NameCH chain of restaurants is built upon two things: good food and great prices. Also, coffee. Sure, they have a thousand different types of delicacies you can choose from, but it doesn’t matter what you choose, because it will always be delicious. Their previous customers say that they absolutely have to go back for another meal, but you don’t have to go anywhere. You can order right here from the comfort of your home or office and we’ll give you a speedy delivery. Remember to use using PayCH right on our PlatformCH platform. Try their MainCH or a SecondCH."
1059,Pizza Kurier Napoli,9242,Oberuzwil,Apps Android,Pizza,Italian,Wunschpizza 30cm,Pizza Prosciutto,4.5,"1,888",Visa,0,38.29,"Great people, great MainCH, great prices. Customers have called the SecondCH here “fresh, tasty, and cooked to perfection”. So, get off the fence and order online right now using PayCH right on our PlatformCH platform. It’s easy! The food will be home before you know it."
1068,Fresco Pizza Kurier,4226,Breitenbach,Web,Pizza,Kebab,Döner Dürüm,Wunschpizza (30cm),4.2,941,Visa,0,33.11,"No introductions are necessary when it comes to this magnificent food franchise. Take the world’s best food and add some Swiss authenticity, and you’ll have NameCH. Order online right away using PayCH right on our PlatformCH platform from this iconic burger joint and we’ll deliver the best food in CityCH to your doorstep. Try their MainCH or a SecondCH."
1078,China Restaurant Lung Fung,8808,Freienbach,Web,Curry,Asian,Mittags Spezialangebot 1,Süss & Sauer knusprig im Teig,4.3,748,American Express,0,71,"The best of food, right here in CityCH. Well known fact: in addition to MainCH, NameCH is excellent with their SecondCH . So why not get all three? You can order online right here on eat.ch using PayCH right on our PlatformCH platform or through the eat.ch mobile app and we will deliver the food right to your doorstep!"
1081,Pizza Oberi,8404,Winterthur,Apps Android,Italian,Pizza,Pizza Döner Special,Pizza Diavolo (scharf),4.5,961,CASH,0,35.13,"NameCH is best known for its dedication to detail. The food here are classic, yet different in an CuisineCH sort of way. This is one of the moments where you realise that the internet is wonderful. Why? Because you can just order online right here on eat.ch using PayCH right on our PlatformCH platform and get your delicious burger delivered to you in minutes! Try their a MainCH or a SecondCH."
1095,Pizza Kurier Ochsen,8514,Amlikon-Bissegg,Apps iOS,Pizza,Italian,Pizza Prosciutto,Pizza Margherita,4.3,571,CASH,0,38.24,"Don’t wear your Sunday best when going to this restaurant, because you will get food all over it. You’ll know what I mean the second you sink your teeth into the beautiful MainCH or a SecondCH. You may get a part of the burger on your face, and you probably don’t want to be seen in public looking like that. So, order online right from your home using PayCH right on our PlatformCH platform and we’ll deliver your juicy burger to you fast and clean."
1123,Restaurant Jura Kurier,4147,Aesch,Apps iOS,Pizza,Italian,Pizza Margherita,Pizza Prosciutto,4.5,618,CASH,0,36.21,"If you’re a vegan, you might be wondering if you ever would get to taste a good MainCH or a SecondCH. Well, NameCH has got you covered, because this restaurant has plenty of vegan options. The vegan burgers here are delicious, and the CuisineCH foods are even better. The French fries look natural and aren't drenched in oil. Order online right now using PayCH right on our PlatformCH platform and get your fill right here on eat.ch! Get your fill faster, download our eat.ch mobile app. "
1125,Pizzakurier Bella Italia,4153,Reinach,Apps iOS,Pizza,Italian,Pizza Margherita,Pizza Prosciutto,4.5,"1,964",Visa,0,32.92,"Located in the heart of CityCH, this restaurant offers a wide variety of CuisineCH  food that come in all shapes, sizes, and flavours. It might be hard to choose from the expansive range of food, but you can take your time. Once you are ready, order online right here using PayCH right on our PlatformCH platform, or on our mobile apps, and we’ll get your CuisineCH  food to you fast. Don't forget to leave your food a rating! Try their a MainCH or a SecondCH."
1127,"Memo's Kebap, Pizza & Burger ",6003,Luzern,Apps iOS,Pizza,Kebab,Pizza Kebap,Cheese Kebap,4.5,"3,580",PayPAL,0,34.75,"Bite after bite, it just keeps getting better. When you go into this restaurant, you’ll be eating a lot, so wear loose pants! Or just stay at home, wear whatever pants you want, and order your CuisineCH food online right here using PayCH right on our PlatformCH platform and get express delivery wherever you are in CityCH. Try their a MainCH or a SecondCH."
1155,Napoli Pizza Kurier,3422,Alchenflüh,Apps Android,Pizza,Kebab,Wunschpizza (30cm),Pizza Margherita,4.7,"2,285",CASH,0,32.74,"Juicy CuisineCH food at affordable prices, what could be better? The NameCH chain of restaurants certainly know their CuisineCH food, so why not take it from the experts? Order right here on eat.ch using PayCH right on our PlatformCH platform for fast delivery, anywhere in CityCH. Remember, our mobile apps get your food to you faster! Try their a MainCH or a SecondCH."
1172,Asian Garden,8620,Wetzikon,Web,Asian,Chinese,Poulet süss-sauer im Backteig,Gebratene Nudeln,4.4,"2,751",TWINT,0,51.04,"Wanna taste the best CuisineCH food in CityCH? Then NameCH is your place to be. CuisineCH  food you’re very familiar with, CuisineCH food you’ve never heard of, these guys have CuisineCH food for all occasions. Order your cake right now using PayCH right on our PlatformCH platform and pay online with eat.ch. Don’t forget to leave them a rating! Try their a MainCH or a SecondCH."
1177,Restaurant Rheinfels & Rank ,8193,Eglisau,Apps iOS,Pizza,Kebab,Kebab im Taschenbrot,Kebeb im Fladenbrot,4.4,"1,339",CASH,0,43,"Don’t you just love making CuisineCH food? No? Then order from NameCH and get your fill of some fine CityCH CuisineCH food. This restaurant has every CuisineCH food you can dream of. You can order CuisineCH food right here using PayCH right on our PlatformCH platform, or just download our eat.ch mobile app and order from there. We’ve got a ton of online payment and delivery options! Try their a MainCH or a SecondCH."
1188,Gabbiano Wildegg,5103,Wildegg,Web,Pizza,Italian,Pizza Kebap,Pizza Salami Picante,4.5,"1,125",Visa,0,34.69,"Fair prices, friendly owners, excellent CuisineCH food right here in CityCH from NameCH! Feeling in the mood for MainCH or a SecondCH right now? Well, no one stopping you. Order right here on eat.ch or download our eat.ch mobile app. You can also choose to pay online using PayCH right on our PlatformCH platform and we will deliver fast!"
1228,Pizzakurier Galipo,8910,Affoltern am Albis,Web,Pizza,Italian,Pizza Prosciutto,Pizza Margherita,4.3,"1,085",TWINT,0,38.47,"Get some excellent CuisineCH food from NameCH in CityCH. CuisineCH foods, MainCH or a SecondCH, whatever it is, just order now! Download our mobile app to keep your food at your fingertips. Pay online using using PayCH right on our PlatformCH platform and don’t forget to leave us a rating!"
1246,Indian Tandoori,9008,St. Gallen,Web,Indian,Curry,Butter Chicken,Chicken Tikka Masala scharf,4.5,"1,199",MasterCard,0,48.18,Let’s go crazy! This restaurant is well known for serving all guests on time regardless of how many guests they have to serve. Best part? They have specials! Know what else is special? Our mobile app. Download it on your iPhone or Android device and keep the food from NameCH literally on your fingertips. You can also choose to pay online using PayCH right on our PlatformCH platform! Try their a MainCH or a SecondCH.
1250,Snack Box,8634,Hombrechtikon,Web,Pizza,Kebab,Kebab im Fladenbrot,Döner Box,4.1,905,TWINT,0,33.7,Feel the CuisineCH cuisine with NameCH. With exotic dishes you'll certainly be expanding your culinary horizons. So expand away. Order now on eat.ch or download our mobile app for a faster experience. You can pay online using PayCH right on our PlatformCH platform and leave us a rating! Try their a MainCH or a SecondCH.
1251,Buchsi Imbiss Restaurant,3360,Herzogenbuchsee,Apps iOS,Pizza,Kebab,Dönerbox,Wunsch Pizza 30cm,4.4,683,MasterCard,0,31.66,NameCH - one of the greatest CuisineCH restaurant in CityCH. Why have the same old boring food when you can go all-out CuisineCH? You can get vegan options too. Or maybe order MainCH at random. It’s a surprise. You can do this right here on eat.ch using PayCH right on our PlatformCH platform or on our mobile app and we will deliver fast!  Try their a MainCH or a SecondCH.
1262,Mr. Pizza al Massimo,8340,Hinwil,Web,Pizza,Italian,Pizza Prosciutto,Pizza Diavola,4.4,805,PayPAL,0,41.48,"CuisineCH, CuisineCH, CuisineCH! Why eat anything else when there’s CuisineCH? NameCH has the best CuisineCH in CityCH, and you can order online right now here on eat.ch using PayCH right on our PlatformCH platform. Remember to leave us a rating and don’t forget to take a look at the CuisineCH food menu! You can do this on our mobile app, too.  Try their a MainCH or a SecondCH."
1263,Cordon Bleu Haus,4052,Basel,Apps iOS,Swiss,,Spezialmenu Cordon Bleu Maison paniert,Spezialmenu Cordon Bleu Winzer paniert,4.3,"1,200",TWINT,0,39.3,"If you want to fulfil your hunger for CuisineCH, then NameCH can help you with that. With primarily CuisineCH-based menus, and you’ll have all the varieties of MainCH or a SecondCH into your face the second you order online using PayCH right on our PlatformCH platform from eat.ch. Or go for our mobile app. It’s faster. Don’t forget to leave us a rating! "
1267,Da Pepino Niederhasli,8155,Niederhasli,Apps iOS,Pizza,Italian,Pizza Desidero (32cm),Pizza al Prosciutto,4.7,"1,123",PayPal,0,48.22,"Looking for some good vegan food in CityCH? Then NameCH is your place to go. You can choose salads, like CuisineCH salads or MainCH or a SecondCH, and a ton of other things. So, choose right here, or download our eat.ch mobile app and choose there. You can pay online using PayCH right on our PlatformCH platform, and we will deliver your food to you fast."
1273,Lenzo Palace,5210,Windisch,Apps Android,Pizza,Kebab,Kebab Taschenbrot,Kebab Dürüm,4.2,694,MasterCard,0,40.17,"Take some great food and stuff it all together. This is just one of the menu items for NameCH. Get a CuisineCH groove on. It doesn’t matter what you choose, we promise to deliver, and we promise to deliver fast. We’ve got a range of options when you pay online, so give it a try. Order right here on eat.ch using PayCH right on our PlatformCH platform, or just use our mobile app. As always, remember to leave us a rating. Try their a MainCH or a SecondCH."
1276,Fauno Pizzakurier,8964,Rudolfstetten,Web,Italian,,Wunschpizza (32cm),Pizza Margherita,4.5,"1,708",CASH,0,38.52,"Eat from the NameCH, right here in CityCH. All the magnificent delicacies you can think of, delivered to your home, no questions asked. Order online right now using PayCH right on our PlatformCH platform for fast delivery, and remember to download our app onto your iPhone or Android device to get all the CuisineCH food you want right at your fingertips. Try their a MainCH or a SecondCH."
1286,Pizza Fulmine Sissach,4450,Sissach,Web,Pizza,Italian,Wunschpizza (32cm),Pizza Margherita,4.2,374,CASH,0,35.9,"The name says it all. NameCH. You can almost feel the fresh smell of CuisineCH treats wafting down the streets of CityCH. Now make that fresh smell waft around your home or office, order and pay online right now using PayCH right on our PlatformCH platform right here on eat.ch, and we’ll deliver to you fast. Leave us a rating, let us know what you think. Try their a MainCH or a SecondCH."
1291,Restaurant zum Kloster,4464,Maisprach,Apps Android,Pizza,Italian,Cordon-Bleu,Pizza Hawaii,4,49,CASH,0,46.31,"NameCH is known to be friendly and uncomplicated. You order your CuisineCH food and we deliver it to you super-fast. So, keep up to speed, order right now using PayCH right on our PlatformCH platform or download our mobile app to get CuisineCH delivery from all over CityCH at your fingertips. Remember to rate us! Try their a MainCH or a SecondCH."
1312,Asia Gourmet,6015,Luzern,Web,Vietnamese,Thai,Pa Naeng Gai,Phad Thai Gai,4.3,"2,140",MasterCard,0,56.54,"An excellent CuisineCH restaurant in CityCH, NameCH has built its name for delivering food fast, right on time. You don’t have to second-guess with this one. Their menu is extensive, and they're happy to deliver. So, order right here on eat.ch using PayCH right on our PlatformCH platform or download our mobile app for a faster experience. You won't regret it! Try their a MainCH or a SecondCH."
1325,Atlas-Imbiss,3360,Herzogenbuchsee,Apps Android,Pizza,Kebab,Kebab im Fladenbrot,Kebab Box,4.6,877,CASH,0,34.7,"With NameCH, it is literally impossible not to find something you will love. This authentic restaurant located in CityCH provides excellent CuisineCH cuisine. The prices are great, and you can pay online if you order now using PayCH right on our PlatformCH platform with eat.ch or the eat.ch mobile app. Try their a MainCH or a SecondCH."
1338,Pizzacom,1800,Vevey,Web,Pizza,Kebab,Pizza au Choix (30cm),Big Cheeseburger,4,326,TWINT,0,38.7,"Get some excellent CuisineCH food with NameCH. If you’re a CuisineCH food lover, then this place is just going to tickle your taste buds. Browse through the extensive menu of delicious CuisineCH food right here, or use our mobile app. Whatever it is you want, order now using PayCH right on our PlatformCH platform, and we will deliver fast. Remember to rate their deliciousness! Try their a MainCH or a SecondCH."
1340,Chilli Express,8610,Uster,Web,Pizza,Kebab,Döner Kebab Fladenbrot,Döner Kebab XXL Fladenbrot,4.3,710,Visa,0,30.21,"NameCH is a restaurant in CityCH known for their fresh and healthy options. There is MainCH and SecondCH. You can even pay online when you order online using PayCH right on our PlatformCH platform on eat.ch, or through our eat.ch mobile app. Remember to leave these guys a rating, and enjoy your food!"
1344,Pizzeria Bernese,3063,Ittigen,Web,Pizza,Kebab,Dürüm Kebab im Fladenbrot,Döner Kebab im Taschenbrot,4.7,"1,390",CASH,0,39.29,"Want a MainCH, or a SecondCH? There's only one place to get that in CityCH. That's right, it's NameCH! The food here is too good for their prices. Download our mobile app to order from this classy restaurant, or just order now using PayCH right on our PlatformCH platform right here. We’ll deliver fast, and do remember to rate our services!"
1346,Borsalino,8600,Dübendorf,Web,Pizza,Swiss,Kebab im Fladenbrot,Kebab im Taschenbrot,4.4,"1,588",PayPAL,0,41.62,"If you want a guilt-free meal, then the NameCH restaurant chain in CityCH is definitely something you must try. Order online right now using PayCH right on our PlatformCH platform, or download our mobile app and order from there. Either way, we’ll deliver your food to you fast, and you’ll have the joy of feeling the freshness of NameCH spread across your home. Remember to rate their freshness! Try their a MainCH or a SecondCH."
1350,Ozlem Kebab,1290,Versoix,Web,Pizza,Kebab,Durum Poulet,Sandwich Poulet,4.2,133,CASH,0,46.5,"Over the past couple of years, the NameCH chain of restaurants have really expanded across CityCH. There are two major factors behind their success: freshness, and quality. With NameCH, you won’t have to think twice when ordering! So, order now, pay online using our secure payment processor using PayCH right on our PlatformCH platform, and get your food delivered to you fast. Don’t forget to leave them a rating! Try their a MainCH or a SecondCH."
1354,Restaurant Palais Indien,1800,Vevey,Web,Curry,Indian,Butter Chicken avec riz basmati,Thali / Mix Assiettes,3.8,225,TWINT,0,56.43,"NameCH has been repeatedly called the fastest delivery service in CityCH. They’ve got all types of CuisineCH food, and they deliver fast. So, try their MainCH or a SecondCH. You can order right here using PayCH right on our PlatformCH platform on eat.ch, or download our mobile app for a faster experience!"
1357,Shapale & Momo Kurier,8645,Jona SG,Apps iOS,Asian,,Sha Momo Menu (5 Stück),Sha Pale Menu (2 Stück),4,597,MasterCard,0,36.63,"CuisineCH food lovers unite! NameCH located in CityCH does more than just CuisineCH, though. They have plenty of other specialities, as well as MainCH or a SecondCH. Get your spicy CuisineCH treats delivered right to your home or office. Order now using PayCH right on our PlatformCH platform right here or using the eat.ch mobile app, and don’t forget to leave us a rating!"
1359,Ala Turka Unterkulm,5726,Unterkulm,Apps iOS,Pizza,Kebab,Pizza Kebab,Wunschpizza (32cm),4.8,"1,001",Visa,0,32.71,"You can almost hear the distant sounds of a CuisineCH fest just when you say the name. NameCH brings the authentic flavours of CuisineCH right here to CityCH. Try their extensive range of CuisineCH food. Just order now using PayCH right on our PlatformCH platform, and have your steaming CuisineCH food delivered fast. Remember to download our mobile app for a better experience! Try their a MainCH or a SecondCH."
1367,Winti Pizzakurier ,8352,Elsau,Apps iOS,Pizza,Italian,Pizza Prosciutto,Pizza Calabrese,4.5,"2,187",TWINT,0,41.82,"The NameCH chain of restaurants brings the heart and soul of CuisineCH food right here to CityCH. Dip yourself into the best CuisineCH food you’ve ever tasted, and feel the flavours dance around your mouth. Order online right now using PayCH right on our PlatformCH platform on a mobile app, and pay online when you eat with us. Have a great meal! Try their a MainCH or a SecondCH."
1380,Burger Lounge (Aloha),3006,Bern,Web,Burger,American,Trucker Burger XL-Style,Trucker Burger,4.2,894,TWINT,0,48.62,"The NameCH restaurant has MainCH, SecondCH, and a ton of other things. So why cook when you can order your favourite topping of pizza online, right here with us on eat.ch. Remember, you can also use our mobile app to browse through their extensive menu, and pay online using PayCH right on our PlatformCH platform.  "
1382,Restaurant La Vita,8180,Bülach,Web,Burger,Italian,Wunschpizza (32cm),The Ladies Burger (140g),4.4,"1,142",Visa,0,43.36,"What more needs to be said of this famous CuisineCH chain? Their fast delivery and excellent food have brought them to where they are now, and CityCH is a city full of CuisineCH food lovers, so why not eat away? Order from this iconic CuisineCH joint, and you’ll be eating delicious CuisineCH food in no time! You can also pay online using PayCH right on our PlatformCH platform, and remember to use a mobile app to have NameCH at your fingertips. Try their a MainCH or a SecondCH."
1385,Pizzeria Schweizerhof,4410,Liestal,Apps Android,Pizza,Italian,Cordon Bleu (Hausgemacht),Pizza Prosciutto,4.6,133,CASH,0,33.58,"One thing NameCH customers’ repeatedly mention is their excellent CuisineCH food. I mean, it’s just the best CuisineCH food in the world. See this for yourself when you order online using PayCH right on our PlatformCH platform with us right here on eat.ch, or just get our mobile app from the Play store or App Store to order using your mobile device. Try their a MainCH or a SecondCH."
1386,Dörfli Pizza,8427,Rorbas,Web,Pizza,Italian,Wunsch-Pizza (30cm),Pizza Kebap,4.7,"1,647",CASH,0,43.41,"The best part of NameCH is that you can find them all over the world. This way, it doesn’t matter where you go, there will always be a trusted place you can get your delicious CuisineCH foods from. Naturally, CityCH has several NameCH outlets, all of which serve the delicious CuisineCH foods you can’t get enough of. So, go ahead, order right now using PayCH right on our PlatformCH platform, right here on eat.ch or use a mobile app to get all the CuisineCH foods you would ever want. Try their a MainCH or a SecondCH."
1390,Restaurant Löwen Ossingen,8475,Ossingen,Web,Pizza,Curry,Gebratene Nudeln,Wunschpizza (32cm),4.2,"1,926",TWINT,0,49.64,"NameCH CuisineCH food is known for their attentiveness to customer feedback. You want a MainCH, you get a MainCH. With their competitive prices and excellent food, it’s no wonder they got to be a global franchise. Now, you can order from this famous CuisineCH food joint right here on eat.ch using PayCH right on our PlatformCH platform, or download our mobile app to get tons of restaurants in CityCH at your fingertips."
1394,Easy Kebab House - Das Original,9000,St. Gallen,Web,Pizza,Kebab,Dürüm,Kebab Box Jumbo,4.6,"2,071",TWINT,0,28.28,"NameCH, probably one of the best CuisineCH food joints in the world. If you order online with us using PayCH right on our PlatformCH platform, the great guys at NameCH will guarantee you free delivery in half an hour. The best part? There’s no minimum order. I mean, what other restaurant gives you these kinds of options? So, order right now, or order using our mobile app. Remember to leave these guys a rating! Try their a MainCH or a SecondCH."
1401,Monomosaik Nachtkurier,8064,Zürich,Apps iOS,Drinks,,Champagne Jacques Lorent Grande Reserve Brut,Chasselas de Geneve AOC,3.8,180,CASH,0,64.9,"Come get your fill of CuisineCH food right here in CityCH when you eat with NameCH. Just download our mobile app on your iPhone or Android device, and order online using PayCH right on our PlatformCH platform! You’ll get your food within 45 minutes, regardless of which dish it is. Try their a MainCH or a SecondCH."
1405,Pizzaphone Fribourg,1700,Fribourg,Apps Android,Pizza,Italian,Pizza Prosciutto,Pizza Margherita,4,496,CASH,0,28.73,"Whatever your worries may be, they will disappear once you taste the authentic NameCH food served here. Maybe you want CuisineCH food? Well, whatever it is you want, the food is literally at your fingertips when you download our eat.ch mobile app. Or you can just order online right here using PayCH right on our PlatformCH platform. Plenty of payment options available, along with some super-fast delivery.  Try their a MainCH or a SecondCH."
1411,Pizzeria Da Ernesto,5210,Windisch,Apps iOS,Pizza,Italian,Pizza Prosciutto,Pizza Margherita,4,209,CASH,0,34.48,"Throwing a party? Hanging out with your friends but happen to be out of drinks? Well, that’s what NameCH is here for. These guys specialise in fast delivery of MainCH or a SecondCH, wherever you may be in CityCH. So why wait? Order and pay online right now using PayCH right on our PlatformCH platform, or download the eat.ch mobile app for a faster experience! Remember, you can rate their services once you order from them."
1416,Ring Pizza Express,4600,Olten,Web,Pizza,Kebab,Dürüm Kebab im Fladenbrot,Wunschpizza (30cm),4.3,338,MasterCard,0,33.53,"Get your tastebuds ready, because this iconic CuisineCH chain is going to blow your taste buds away! Located in the heart of CityCH, the huge number of foods they offer means that they have something for everybody. Order online right now using PayCH right on our PlatformCH platform to try their specialities. Download our mobile app, and have your delicious doughnuts delivered to you right away! Try their a MainCH or a SecondCH."
1417,Burger & Co. Luzern,6004,Luzern,Apps iOS,Burger,American,Cheeseburger,Swissburger,3,154,CASH,0,45.04,"Want good food? Then order from NameCH right now, and get your delivery in 30 minutes! Or, if you're feeling in the mood for some other type of CuisineCH food, you know that there is no other CuisineCH place in CityCH that's more qualified to fill moods. Download our mobile app to get to the CuisineCH food you love a faster. You can also pay online using PayCH right on our PlatformCH platform! Try their a MainCH or a SecondCH."
1422,Lavaux Food @ Home,1072,Forel (Lavaux),Web,Pizza,Burger,Menu Burger,Le Cheese Bacon Burger Maison,4.1,548,TWINT,0,44.49,"When you say CuisineCH food, you typically think spicy, salty, flavour filled food that's probably not good for your body. NameCH CityCH is an CuisineCH themed restaurant that flips this concept over, providing you with delicious CuisineCH food while being healthy. Get their specialities and have your food delivered to you fast under an hour when you order and pay online using PayCH right on our PlatformCH platform with us. So order away! Try their a MainCH or a SecondCH."
1425,Viet Long,8400,Winterthur,Apps Android,Vietnamese,Curry,Ga sot chua ngot,Ga sot ca ri do (leicht scharf),4.4,"3,021",PayPal,0,40.13,"Get CuisineCH food delivered to your doorstep in 40 minutes! CityCH is a city of CuisineCH food lovers, so NameCH is only happy to please. They're known for surprising their customers by getting them their CuisineCH food way before the approximated delivery time. Try finding out yourself, order online right now with eat.ch or through the eat.ch mobile app and pay online using PayCH right on our PlatformCH platform. Try their a MainCH or a SecondCH."
1431,Pizza Paradiso,4853,Murgenthal,Apps iOS,Pizza,Kebab,Kebap im Fladenbrot (Dürüm),Wunschpizza (32cm),4.4,696,CASH,0,32.36,"CuisineCH, CuisineCH, CuisineCH! The words “CuisineCH food” and “CuisineCH” go together like MainCH and SecondCH. My point is, if it’s CuisineCH food you are looking for, CityCH is your city, and NameCH is your one-stop CuisineCH food delivery service. Order right now and sink your teeth into a CuisineCH food in just 40 minutes. Delivery is fast, and you can pay online using PayCH right on our PlatformCH platform using whatever method you choose!"
1442,Restaurant Pizzeria Bären,4415,Lausen,Web,Pizza,Italian,Wunschpizza (32cm),Cheeseburger XXL,4.7,826,CASH,0,41.1,"NameCH should really just translate to ""CuisineCH food"". Of course, they do other varieties too, but their CuisineCH foods really take centre stage! Well, that moment can be 40 minutes from now if you order using PayCH right on our PlatformCH platform right away right here, or using our mobile app. Remember to rate their service once you're done eating! Try their a MainCH or a SecondCH."
1443,Munot Burger & Pizzakurier,8200,Schaffhausen,Apps iOS,Pizza,Burger,Wunsch Burger,Baby Burger XXL,4.5,730,CASH,0,34.86,"NameCH will get you all your CuisineCH specialities delivered to you fast the second you order online. Wherever you are in CityCH, NameCH always has your back, whether you want an all-out meal or just a light snack. Order and pay online right now using PayCH right on our PlatformCH platform, or use our eat.ch mobile app for a faster experience. Remember to rate these guys! Try their a MainCH or a SecondCH."
1449,Zwillike 66,8909,Affoltern am Albis,Apps iOS,Pizza,Swiss,Berner Cordon Bleu,Knobli Cordon Bleu,4.1,122,CASH,0,48.61,"With all that Italian and American food flying around, it’s easy to forget some delicious CuisineCH food, but you’ll realise that you never actually forget it. So why not taste some excellent MainCH and SecondCH, and feel the real taste of CityCH with Falkino! Order online using PayCH right on our PlatformCH platform right here on eat.ch or download our mobile app and order faster! You’ll get delivery in 40 minutes, so remember to rate this restaurant in the next two hours!"
1456,Storch Pizza und Kebab Kurier Bischofszell,9220,Bischofszell,Web,Pizza,Kebab,Pizza Kebab mit Cocktailsauce,Pizza Prosciutto,4.5,632,CASH,0,35.37,"What is your favourite restaurant in CityCH? NameCH? Well, they seem certain that they can get themselves into your heart! This all-round restaurant, which serves CuisineCH food certainly has enough selections for everybody, so why not try and see if they can be your favourite? Order right now using PayCH right on our PlatformCH platform, and don't forget to leave these guys a rating! Try their a MainCH or a SecondCH."
1458,Pizzakurier Nonna Teresa,8712,Stäfa,Web,Pizza,Swiss,Pizza Margherita,Pizza Prosciutto,4.3,714,TWINT,0,38.82,"If you’re thinking of eating at NameCH, then you’ve already made a fine choice! This CuisineCH restaurant which offers CuisineCH cuisine will have you nosediving into an authentic CuisineCH experience while sitting at your home in CityCH. So dive in faster, use our mobile app to order in seconds. Use PayCH right on our PlatformCH platform, and remember to rate their services! Try their a MainCH or a SecondCH."
1467,Melo Pizza & Kebap,5070,Frick,Apps Android,Pizza,Kebab,Dürüm Kebap Fladenbrot,Kebap Box mit Pommes Frites,4.4,"1,083",TWINT,0,40.1,"Is it a bird? Is it a plane? No, it's NameCH! This is one of the few restaurants in CityCH that offers family special menus, with CuisineCH being its top sellers. Order a special, or order something else that tastes just as good. Whatever it is you want, order online using PayCH right on our PlatformCH platform, or order right here on eat.ch, and we will deliver to you fast! Try their a MainCH or a SecondCH."
1470,Pizzaiolo Seftigen,3662,Seftigen,Web,Pizza,Kebab,Kebab im Fladenbrot,Kebab im Taschenbrot,4.6,702,Visa,0,37.96,"Dive deep into the authentic cuisine of this charming and warm CuisineCH restaurant located in the heart of CityCH. If you’re looking for some great food, then NameCH is where your food is at. So, order right now using PayCH right on our PlatformCH platform to get fast delivery to your home or office. Remember to download our mobile app to keep CuisineCH food at your fingertips! Try their a MainCH or a SecondCH."
1473,Lions Grill Pizza Kebap,4900,Langenthal,Apps iOS,Pizza,Kebab,Döner Box mit Pommes Frites,Pizza Lions,4.6,"1,113",American Express,0,31.42,"NameCH has, hands down, the best food in CityCH. They also have excellent CuisineCH food and other cuisines as well. Order right now using PayCH right on our PlatformCH platform, and you’ll get your food in under an hour. Download our mobile app on your iPhone or Android device for a faster experience, and remember to rate this restaurant once you’ve eaten! Try their a MainCH or a SecondCH."
